"Kategoria","Numer","NumerSiG","Pozycja"
"Z01.odgłosy",9,9,"bam.bum.bęc"
"Z04.pokarmy",79,NA,"ciasto"
"Z04.pokarmy",94,NA,"kakao"
"Z04.pokarmy",109,77,"mięso"
"Z06.ubrania",165,106,"pantofle.kapcie"
"Z08.w_domu",204,138,"balkon"
"Z08.w_domu",224,153,"schody"
"Z09.przedmioty_domowego_użytku",258,177,"nóż"
"Z09.przedmioty_domowego_użytku",265,183,"ręcznik"
"Z09.przedmioty_domowego_użytku",275,189,"telefon.komórka"
"Z10.na_dworze",312,216,"ziemia"
"Z11.miejsca_gdzie_można_pójść",313,NA,"apteka"
"Z11.miejsca_gdzie_można_pójść",315,NA,"góry"
"Z12.osoby",339,223,"dzieci"
"Z14.przymiotniki",392,264,"gorący"
"Z14.przymiotniki",409,276,"zmęczony"
"Z15.przysłówki",411,252,"brzydko"
"Z15.przysłówki",417,264,"gorąco"
"Z15.przysłówki",419,NA,"mocno"
"Z16.czasowniki",456,NA,"krzyczeć.wołać"
"Z16.czasowniki",461,303,"lubić"
"Z16.czasowniki",463,304,"mieć..ma."
"Z16.czasowniki",486,NA,"pożyczyć"
"Z16.czasowniki",499,NA,"schować"
"Z16.czasowniki",506,323,"stać"
"Z16.czasowniki",515,330,"uciekać"
"Z16.czasowniki",539,NA,"znaleźć"
"Z17.określenia_miejsca",560,NA,"nigdzie"
"Z19.określenia_miary",589,NA,"cały"
"Z19.określenia_miary",594,NA,"też"
"Z20.zaimki_osobowe",608,NA,"sobie"
"Z20.zaimki_osobowe",609,364,"mój"
"Z22.pytania",629,376,"kto."
"Z24.przyimki",652,NA,"o"
"Z25.spójniki",665,NA,"bo"
